Etiquetas de fila;Suma de FOBDOL;Suma de FOBPES
MAR;52278732;2.30948E+11
AGO;1915645;8832227812
DOM;307035917;1.41339E+12
ABW;22809457;1.05983E+11
AIA;19505;89596001
ARE;216354982;1.00398E+12
ARG;187531306;8.56842E+11
ARM;396046;1796691617
ATG;2599581;12200205429
AUS;54277279;2.51405E+11
AUT;1348218;6325952622
AZE;81429;372758477
BEL;302104799;1.3882E+12
BEN;25727;123967047
BES;68192469;3.1274E+11
BGD;1038233;4853033803
BGR;8507934;38062537248
BHR;658858;2996217171
BHS;2234024;10364244276
BIH;90436;416601051
BLR;1381963;6433039889
BLZ;5129901;24204962014
BMU;143300;647614740
BOL;62335493;2.86753E+11
BRA;924105715;4.23678E+12
BRB;4063096;18777161090
BRN;25322925;1.15285E+11
BWA;6100;28253004
CAN;345995709;1.57556E+12
CHE;47035199;2.16159E+11
CHL;599446550;2.76436E+12
CHN;1207227862;5.50544E+12
CIV;101641263;4.73784E+11
CMR;1169093;5031256001
COD;102939;473728122
COG;1871674;8788223059
COL;4688223;21522573732
COM;46491;209292073
CPV;369684;1658418404
CRI;151970104;6.98576E+11
CUB;28847768;1.31135E+11
CUW;40343764;1.86993E+11
CYM;6257930;28368106705
CYP;177827;784074126
CZE;3742679;17191675268
DEU;309392284;1.42002E+12
DJI;961068;4534859054
DMA;917104;4294143237
DNK;15180398;69285415773
DZA;238418;1113640356
ECU;934859381;4.30182E+12
EGY;149963039;6.76424E+11
ESP;633745043;2.937E+12
EST;701558;3282839856
ETH;266932;1268670784
FIN;74277572;3.45859E+11
FJI;47710;211420492
FRA;122882270;5.64761E+11
GAB;10964304;51862007871
GBR;232161487;1.063E+12
GEO;488588;2261542228
GHA;1285347;5909070034
GIN;710739;3220532503
GLP;6424483;29787322902
GNB;35600;163800756
GNQ;69845;321458319
GRC;11033070;50621510272
GRD;1266998;5856918839
GTM;169818451;7.79036E+11
GUF;519911;2365984882
GUM;21623;99484521
GUY;11377561;52498104606
HKG;202667824;9.32222E+11
HND;61143776;2.80064E+11
HRV;333977;1543604199
HTI;36618882;1.70366E+11
HUN;982512;4521511456
IDN;3378734;15147185809
IND;944695302;4.31412E+12
IRL;81936922;3.83682E+11
IRQ;33081232;1.46748E+11
ISL;246843;1144875017
ISR;325471297;1.49461E+12
ITA;419157497;1.92746E+12
JAM;152592669;6.96044E+11
JOR;16212079;73388602958
JPN;370213162;1.69201E+12
KAZ;8373895;38542734227
KEN;1103469;5221539118
KGZ;181473;833816749
KHM;71423;323120218
KNA;243352;1137485335
KOR;372431527;1.64446E+12
KWT;1976131;9045051065
LBN;15569375;72477288534
LBR;444095;2000752496
LBY;3998643;18295573907
LCA;999837;4539673447
LKA;545810;2515142389
LTU;823183;3744509286
LUX;32079;151875858
LVA;11987098;54665761518
MAC;191767;837844352
MCO;137973;655879399
MDA;318692;1456116760
MDG;193426;895245445
MDV;16971;74697911
MEX;999020068;4.60678E+12
MKD;123923;566900630
MLI;224786;992424110
MLT;112049;515698389
MNE;257104;1196623136
MOZ;1389842;6285492797
MRT;412057;1981734174
MTQ;2692186;12439022319
MUS;32077;146032519
MYS;233898647;1.07162E+12
NCL;82130;374877458
NGA;4489417;20597255336
NIC;19934866;90838137217
NLD;1218361330;5.68526E+12
NOR;44795516;2.05625E+11
NZL;7709339;35303490852
OMN;1103745;5118559170
PAK;671382;3119160410
PAN;2103412265;9.68806E+12
PER;508579647;2.33568E+12
PHL;5960236;27135777893
PNG;100000;487824000
POL;628630561;2.93214E+12
PRI;386032309;1.77752E+12
PRT;11042432;50296068038
PRY;14070619;64317267758
PSE;227017;1058576893
QAT;1917451;8539066916
ROU;9095652;41957689143
RUS;34666421;1.59044E+11
RWA;6085;29424078
SAU;39870423;1.85706E+11
SDN;48330;224545046
SEN;702578;3154019052
SGP;97788840;4.36904E+11
SLE;513655;2326644677
SLV;79723946;3.6721E+11
SMR;10368;48406043
SRB;57513;263688983
SUR;5095093;23865775164
SVK;1159258;5310518509
SVN;39644454;1.77481E+11
SWE;22154095;1.00403E+11
SYR;307997;1384641818
TCA;1153300;5446170114
TCD;34240;156427449
TGO;666538;3063862381
THA;9093252;41971995685
TJK;14877;70434014
TTO;16852703;77437467648
TUN;47784;229611989
TUR;419244159;1.95599E+12
TWN;104364075;4.81169E+11
TZA;405818;1844597235
UGA;198223;883884750
UKR;1261945;5714373932
URY;14107692;65023205826
USA;6298213698;2.8966E+13
UZB;55694;251869458
VCT;619457;2837999025
VEN;306432683;1.40192E+12
VGB;262607;1181439929
VIR;23860;114190215
VNM;11714753;53653623322
XCF;281380385;1.29672E+12
YEM;169300;805947572
ZAF;45440142;2.10094E+11
ZWE;5684;25678610
Total general;24588798118;1.13059E+14
